nik,section,sub_section,dedicated
11364,Inspeksi,Cluster,0
11364,Inspeksi,Stickering,0
11364,Inspeksi,Rework,0
11372,Inspeksi,Camera Offline,1
11372,Inspeksi,Repallet,0
11372,Inspeksi,Pembuatan Partisi,0
11372,Inspeksi,Cleaning Pallet,0
11375,Inspeksi,Camera Offline,1
11375,Inspeksi,Meja,0
11375,Inspeksi,Shrink,0
11375,Inspeksi,Repallet,0
11375,Inspeksi,Pembuatan Partisi,0
11375,Inspeksi,Cleaning Pallet,0
11376,Inspeksi,Camera Offline,1
11376,Inspeksi,Meja,0
11376,Inspeksi,Shrink,0
11376,Inspeksi,Cluster,0
11376,Inspeksi,Stickering,0
11376,Inspeksi,Rework,0
11377,Finished goods,Penandaan,1
11377,Finished goods,Putway,0
11377,Finished goods,Meja,0
11377,Finished goods,Camera Offline,0
11377,Finished goods,shrink,0
11377,Finished goods,cluster,0
